UBICACION,SKU,PASILLO,RACK,COLUMNA,NIVEL
A.01.01.02,508241,A,1,1,2
A.01.01.03,508242,A,1,1,3
A.01.01.04,508243,A,1,1,4
A.01.01.05,508244,A,1,1,5
A.01.01.06,508245,A,1,1,6
A.01.01.07,508246,A,1,1,7
A.01.01.08,508247,A,1,1,8
A.01.02.02,508248,A,1,2,2
A.01.02.03,508249,A,1,2,3
A.01.02.04,508250,A,1,2,4
A.01.02.05,508251,A,1,2,5
A.01.02.06,508252,A,1,2,6
A.01.02.07,508253,A,1,2,7
A.01.02.08,508254,A,1,2,8
A.01.03.02,508255,A,1,3,2
A.01.03.03,508256,A,1,3,3
A.01.03.04,551297,A,1,3,4
A.01.03.05,551298,A,1,3,5
A.01.03.06,551299,A,1,3,6
A.01.03.07,551300,A,1,3,7
A.01.03.08,551301,A,1,3,8
A.01.04.02,551302,A,1,4,2
A.01.04.03,551303,A,1,4,3
A.01.04.04,551304,A,1,4,4
A.01.04.05,551305,A,1,4,5
A.01.04.06,551306,A,1,4,6
A.01.04.07,551307,A,1,4,7
A.01.04.08,551308,A,1,4,8
A.02.01.02,551384,A,2,1,2
A.02.01.03,551349,A,2,1,3
A.02.01.04,551375,A,2,1,4
A.02.01.05,551436,A,2,1,5
A.02.01.06,551437,A,2,1,6
A.02.01.07,551438,A,2,1,7
A.02.01.08,551439,A,2,1,8
A.02.02.02,551440,A,2,2,2
A.02.02.03,551528,A,2,2,3
A.02.02.04,551529,A,2,2,4
A.02.02.05,551530,A,2,2,5
A.02.02.06,551531,A,2,2,6
A.02.02.07,551332,A,2,2,7
A.02.02.08,551333,A,2,2,8
A.02.03.02,551534,A,2,3,2
A.02.03.03,551535,A,2,3,3
A.02.03.04,15760,A,2,3,4
A.02.03.05,17445,A,2,3,5
A.02.03.06,17445,A,2,3,6
A.02.03.07,17445,A,2,3,7
A.02.03.08,17755,A,2,3,8
A.02.04.02,17755,A,2,4,2
A.02.04.03,17755,A,2,4,3
A.02.04.04,215072,A,2,4,4
A.02.04.05,220568,A,2,4,5
A.02.04.06,220568,A,2,4,6
A.02.04.07,220568,A,2,4,7
A.02.04.08,506974,A,2,4,8
A.03.01.02,506974,A,3,1,2
A.03.01.03,506974,A,3,1,3
A.03.01.04,508945,A,3,1,4
A.03.01.05,508990,A,3,1,5
A.03.01.06,508990,A,3,1,6
A.03.01.07,508990,A,3,1,7
A.03.01.08,546765,A,3,1,8
A.03.02.02,551366,A,3,2,2
A.03.02.03,221449,A,3,2,3
A.03.02.04,221449,A,3,2,4
A.03.02.05,221748,A,3,2,5
A.03.02.06,221748,A,3,2,6
A.03.02.07,221748,A,3,2,7
A.03.02.08,504746,A,3,2,8
A.03.03.02,504746,A,3,3,2
A.03.03.03,504746,A,3,3,3
A.03.03.04,507575,A,3,3,4
A.03.03.05,507575,A,3,3,5
A.03.03.06,507575,A,3,3,6
A.03.03.07,507575,A,3,3,7
A.03.03.08,507575,A,3,3,8
A.03.04.02,507576,A,3,4,2
A.03.04.03,507576,A,3,4,3
A.03.04.04,507577,A,3,4,4
A.03.04.05,507586,A,3,4,5
A.03.04.06,507586,A,3,4,6
A.03.04.07,507586,A,3,4,7
A.03.04.08,507586,A,3,4,8
A.04.01.02,549216,A,4,1,2
A.04.01.03,549216,A,4,1,3
A.04.01.04,549216,A,4,1,4
A.04.01.05,551266,A,4,1,5
A.04.01.06,551266,A,4,1,6
A.04.01.07,551266,A,4,1,7
A.04.01.08,551330,A,4,1,8
A.04.02.02,551348,A,4,2,2
A.04.02.03,551352,A,4,2,3
A.04.02.04,551352,A,4,2,4
A.04.02.05,551352,A,4,2,5
A.04.02.06,509406,A,4,2,6
A.04.02.07,507552,A,4,2,7
A.04.02.08,507553,A,4,2,8
A.04.03.02,507554,A,4,3,2
A.04.03.03,507556,A,4,3,3
A.04.03.04,508749,A,4,3,4
A.04.03.05,508754,A,4,3,5
A.04.03.06,508755,A,4,3,6
A.04.03.07,508756,A,4,3,7
A.04.03.08,508757,A,4,3,8
A.04.04.02,509226,A,4,4,2
A.04.04.03,507562,A,4,4,3
A.04.04.04,549219,A,4,4,4
A.04.04.05,551294,A,4,4,5
A.04.04.06,551295,A,4,4,6
A.04.04.07,551296,A,4,4,7
A.04.04.08,551437,A,4,4,8
A.05.01.02,216080,A,5,1,2
A.05.01.03,216081,A,5,1,3
A.05.01.04,216082,A,5,1,4
A.05.01.05,216083,A,5,1,5
A.05.01.06,216084,A,5,1,6
A.05.01.07,216085,A,5,1,7
A.05.01.08,216086,A,5,1,8
A.05.02.02,504860,A,5,2,2
A.05.02.03,504937,A,5,2,3
A.05.02.04,507555,A,5,2,4
A.05.02.05,551294,A,5,2,5
A.05.02.06,508756,A,5,2,6
